,recon2,BC01_08,BC01_49,BC01_53,BC01_69,BC02_66,BC03_26,BC03_78,BC03LN_50,BC03LN_64,BC03LN_87,BC04_20,BC04_62,BC05_46,BC05_53,BC07_30,BC07_35,BC07_57,BC07LN_41,BC07LN_62,BC09_Re_95
42A12BOOX,0.0,,,,,,,,,,,,,,,,,,,,
4HBZCOAFm,99.99999999999989,,,,,,,,,,,,,,,60.000000000000014,,47.17470191809224,,,
4HBZFm,99.99999999999989,,,,,,,,,,,,,,,60.000000000000014,,47.17470191809224,,,
4HGLSDm,0.0,,,,,,,,,,,,,,,,,,,,
4HOXPACDOX_NADP_,1000.0,,,,,,,,,,,,,,,,,,,,
4NPHSULT,1000.0,,,,,,,,,1000.0,,,,,,,,,,,
5ADTSTSTERONESULT,999.9999999999998,,,,,,,,,1000.0,,,,,,,,,,,
5HLTDL,999.9999999999851,,,,,,,,,,,,,,,,,,,,
5HOXINDACTO2OX,1000.0,,,1000.0,,,,,,,,,,,,,1000.0,,1000.0,,
5HOXINDACTOXm,0.0,,,,,,,,,,,,,,,,,,,,
5HOXINOXDA,0.0,,,,,,,,,,,,,,,,,,,,
5HTRPDOX,0.0,,,,,,,,,,,,,,,,,,,,
5HXKYNDCL,0.0,,,,,,,,,,,,,,,,,,,,
5HXKYNOXDA,0.0,,,,,,,,,,,,,,,,,,,,
A_MANASE,0.0,,,,,,,,,,,,,,,,,,,,
A_MANASEly,333.33333333332985,,,133.33333333333331,124.9999999999997,,,,72.42990654205536,75.00000000000252,,,,125.0,71.42857142857139,100.00000000000016,,71.42857142857122,66.66666666666667,,
A4GALTc,0.0,,,,,,,,,,,,,,,,,,,,
A4GALTg,166.66666666666663,124.99999999999983,,,,,,,,166.6666666666662,,125.0,,,,,124.99999999999989,,,,142.85714285714255
A4GNT1g,0.0,,,,,,,,,,,,,,,,,,,,
A4GNT2g,0.0,,,,,,,,,,,,,,,,,,,,
AACOAT,1000.0,1000.0,599.9999999999995,,1000.0,888.8888888888887,,1000.0,,,718.1818181818184,733.3333333333337,1000.0000000000059,1000.0,,,,,,,
AACTOOR,1000.0,,,,,,,,,,,,,,,,,,,,
AASAD3m,1000.0,,,,,,,,,,,1000.0000000000064,,,1000.0000000000049,,,,,,
AATAi,1000.0,,,,,,,,,,,,,,0.0,,,,,,
ABO1g,125.00000000000021,,,,,,,,,,,,,,,,,,,,
ABO2g,124.99999999999683,,,,,,,,,,,,,,,,,,,,
ABO3g,142.85714285713559,,,,,,,,,,,,,,,,,,,,
ABO4g,125.00000000000584,,,,,,,,,,,,,,,,,,,,
ABO5g,83.3333333333756,,,,,,,,,,,,,,,,,,,,
ABO6g,62.499999999827125,,,,,,,,,,,,,,,,,,,,
ABO7g,62.499999999827125,,,,,,,,,,,,,,,,,,,,
ABO8g,90.90909090924623,,,,,,,,,,,,,,,,,,,,
ABO9g,55.5555555555896,,,,,,,,,,,,,,,,,,,,
ABTArm,1000.0,,0.0,,,,1000.0,,,,,,999.9999999999982,,1000.0,,1000.0,,0.0,,749.9999999999998
ABTD,1000.0,,,,,,,,,,,,,1000.0,0.0,,0.0,,,,
ABUTD,1000.0,,,1000.0,1000.0000000000007,,,,,,,1000.0,,,,,1000.0,,1000.0,,
ACACT10m,999.9999999999978,0.0,,0.0,,,,,,,,,,0.0,,,,,,,
ACACT1r,1000.0,333.33333333333337,0.0,,1000.0000000000025,0.0,1000.0,669.7674418604689,,,399.9999999999996,,-7.958078640513122e-13,0.0,,,,,,,
ACACT1rm,1000.0,999.9999999999982,,1000.0,,,,,,,1000.0,,666.6666666666655,,,,1000.0,,1000.0,600.0,0.0
ACACT1x,1000.0,333.33333333333326,,833.3333333333334,888.8888888888895,,692.307692307692,,,,,1000.0,,995.6896551724129,624.9999999999999,890.7103825136599,,,,,
ACACT4p,850.0000000000002,,,,,,,,,,,,,,,,,,,,
ACACT5p,700.0000000000002,,,,,,307.6923076923075,,,,,,,,,,,,,,
ACACT6p,700.0000000000002,,,,,,307.6923076923075,,,,,,,,,227.27272727272612,250.0000000000008,,,,
ACACT7p,700.0000000000002,,,,,,307.6923076923075,,,,,,,,,,,,,,
ACACT8p,0.0,,,,,,,,,,,,,,,,,,,,
ACACT9p,0.0,,,,,,,,,,,,,,,,,,,,
ACCOAC,1000.0,,,1000.0,,1000.0,,,,1000.0,,749.9999999999982,,1000.0,1000.0000000000002,1000.0,1000.0,1000.0,249.9999999999996,,1000.0
ACCOACm,1000.0,999.9999999999999,,1000.0,,,,,,,,,,1000.0000000000063,1000.0000000000016,,,999.9999999999845,,,1000.0
ACCOAL,1000.0,,,,,,,,,,,,,,,,,,,,
ACCOALm,1000.0,,,,,,,,,,,,,,500.0,600.0000000000036,999.9999999999965,,,,
ACGALK,-3.0902380533062076e-13,,,,,,,,,,,,,,,,,,,,
ACGALK2,-3.0902380533062076e-13,,,,,,,,,,,,,,,,,,,,
ACGAM2E,750.0,,,0.0,199.9999999999999,,0.0,,,129.0322580645092,,,749.9999999999957,,-1.1368683772161603e-13,0.0,750.0000000000002,0.0,0.0,0.0,
ACGAM6PSi,1000.0,599.9999999999995,,999.9999999999898,1000.0,,1000.0,1000.0,,258.06451612902737,,,,1000.0,,,,,,200.0,142.85714285714286
ACGAMK,1000.0,,,999.9999999999878,1000.0,,999.9999999999992,71.42857142857142,362.14953271027684,309.6733668343139,,,1000.000000000001,625.0000000000002,1000.0,1000.0,1000.0,1000.0,1000.0000000000057,1000.0,
ACGAMPM,1000.0,599.9999999999995,,1000.0,1000.0,,1000.0,1000.0,362.14953271027684,309.67336683420365,,,1000.0,824.8031496063004,1000.0,999.999999999997,782.7710843373493,1000.0,1000.0,1000.0,142.85714285714286
ACGPID,333.33333333333184,,,,,,,292.92929292929256,,,,,312.8205128205079,,,,,,,,
ACGSm,0.0,,,,,,,,,,,,,,,,,,,,
ACHEe,1000.0,,,,,,,,,,,,,,,,,,,,
ACITL,1000.0,,,,,,,,,,,,,,,,,,,,1000.0
ACNAM9PL,1000.0,,,,,,,,,,,,,,,,1000.0,,,,
ACNAM9PL2,0.0,,,,,,,,,,,,,,,,,,,,
ACNAMPH,1000.0,,,,,,,,,,,,,,,,1000.0,,,,
ACNMLr,1000.0,1.1368683772161603e-13,,,0.0,,0.0,,,0.0,,,0.0,,,,1000.0,,,,
ACOAD10m,1000.0,1000.0,,1000.0000000000015,,,,,,,,,,1000.0,1000.0,,,,,,
ACOAD1fm,1000.0,1000.0000000000024,,1000.0,,,,,,295.4703832752615,,,,1000.0,583.3333333333333,,1000.0,,,,
ACOAD8m,1000.0,,,,,,,,,,,,749.9999999999927,,,,,,,,0.0
ACOAD9m,1000.0,,,,,,727.2727272727257,1000.000000000003,,,,,,,,,,,,,999.9999999999998
ACOAHi,1000.0,,,,,1000.0,,,,1000.0,,,1000.0,1000.0,,1000.0,,,1000.0,,
ACOAO7p,1000.0,,,,,,1000.0000000000014,,,1000.0,,1000.0,,,500.00000000000006,1000.0,1000.0,1000.0,,,
ACOATA,400.00000000002353,,,,,0.0,0.0,-4.156092592118094e-14,1.3401104239122894e-13,199.99999999999966,1.86584501845883e-13,,-7.888117509607518e-13,0.0,,0.0,,,,,1.4921397450962104e-13
ACODA,0.0,,,,,,,,,,,,,,,,,,,,
ACONT,1000.0,,,,,,,,,,,,,1000.0,1000.0,,,,1000.0,,
ACONTm,1000.0,,,,,0.0,,1000.0,,0.0,,,,1000.0,,1000.0,,,1000.0,,
ACOX22x,0.0,,,,,,,,,,,,,,,,,,,,
ACOX2x,111.1111111111112,,,,,,,,,,,,,111.11111111111153,,,,,,,
ACP1_FMN_,1000.0,,,1000.0,1000.0000000000001,,,,,,,,,1000.0,1000.0,1000.0,,,,,1000.0
ACS,1000.0,,,,1000.0,,,1000.0,,1000.0,,,,1000.0,,,,,,1000.0,
ACS2,1000.0,,,,,,,,,,,,,,,,,,,,
ACSm,1000.0,,,1000.0,,,,,,,184.415584415582,,,,500.0000000000011,,1000.0,,999.9999999999953,1000.0,
ACSOMT,0.0,,,,,,,,,,,,,,,,,,,,
ACSRTNMT,0.0,,,,,,,,,,,,,,,,,,,,
ACTLMO,1000.0,1000.0,,999.999999999989,1000.0000000000091,,,,,,877.7777777777694,,1000.0000000000005,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0000000000034,
ACTNMO,1000.0,,,,,,1000.0,,,,,1000.0,,,,,,,,,
ACYP,1000.0,,,,,0.0,,,,,,,,,,,0.0,,1000.0,1000.0,
ADA,1000.0,,,,,,1000.0000000000006,,,1000.0,,,,1000.0,1000.0,,,,,,1000.0
ADAe,1000.0,,,,,,,,,1000.0,,,,1000.0,,,,,,,
ADCim,1000.0,1000.0,,1000.0,1000.0,,1000.0,,1000.0,,,722.2222222222222,,1000.0,1000.000000000002,1000.0,1000.0,,,,
ADK1,1000.0,,999.9999999999976,1000.0,499.9999999999993,1000.0,1000.0,,516.4835164835158,1000.0,1000.0,1.1368683772161603e-12,999.9999999999989,1000.0000000000052,1000.0,,,,,1000.0,1000.0000000000014
ADK1m,1000.0,1000.0000000000006,,1000.0,,,,,1000.0000000000005,999.9999999999976,1000.0,,,1000.0,499.99999999999994,599.9999999999998,1000.0,,1000.0000000000017,1000.0,1000.0
ADK3,1000.0,1000.0,,,,1000.0,1000.0,1000.0,,1000.0,1000.0,-1.1368683772161603e-13,999.9999999999981,9.094947017729282e-13,1000.0,0.0,1000.0000000000128,1000.0,1000.0,,1000.0
ADK3m,1000.0,1000.0,,,,,,,1000.0,,1000.0,,,1000.0,,,,47.174701918092154,,,1000.0
ADKd,1000.0,,,,,,1000.0000000000322,,,,,0.0,,,999.9999999999989,750.0,,,,,
ADMDC,1000.0,1000.0000000000008,,1000.0,,,,,,,,999.9999999999999,1000.0000000000003,,,1000.0000000000018,,,,,
ADNCYC,1000.0,1000.0,,,,,1000.0,,,,1000.0,,1000.0,,,,1000.0000000000013,1000.0,1000.0,,
ADNK1,1000.0,,,,,,,,,,,,,,,,,,,,
ADNK1m,1000.0,1000.0,,,,,,,,,,,,,,,1000.0,,999.9999999999987,,
ADPGLC,0.0,,,,,,,,,,,,,,,,,,,,
ADPMAN,0.0,,,,,,,,,,,,,,,,,,,,
ADPRDP,1000.0,,499.99999999999994,1000.0,,1000.0,,,,1000.0000000000002,,,,,,1000.0,0.0,1000.0,,1000.0,
ADPRDPm,0.0,,,,,,,,,,,,,,,,,,,,
ADPT,1000.0,1000.0,1000.0,999.9999999999983,1000.0,1000.0,,,1000.0,,,999.9999999999995,,999.9999999999993,,,,,,,
ADRNCPT1,1000.0000000000003,,,,,,,,,318.07228915662625,,,,,,,,,,,
ADRNCPT2,1000.0000000000003,,,,,,,,,318.07228915662625,,,,,,,,,,,
ADSELK,0.0,,,,,,,,,,,,,,,,,,,,
ADSK,1000.0,1000.0,,,1000.0,,,,1000.0,1000.0,999.9999999999999,333.3333333333329,,999.9999999999989,999.9999999999997,1000.0,,1000.0,,,142.8571428571429
ADSL1,1000.0,,,,,,,,,,,,,,,,,,,,
ADSL2,1000.0,,,,,,,,,,,,,,,,,,,,
ADSS,1000.0,,,,,,,,,,,,,,,,,,,,
AG13T10g,9.920634920635848,,,,,,,,,,,,,,9.92063492063492,,,9.920634920634928,,,
AG13T11g,9.920634920635848,,,,,,,,,,,,,,9.92063492063492,,,9.920634920634928,,,
AG13T12g,9.920634920635848,,,,,,,,,,,,,,9.92063492063492,,,9.920634920634928,,,
AG13T13g,9.920634920635848,,,,,,,,,,,,,,9.92063492063492,,,9.920634920634928,,,
AG13T14g,9.920634920635848,,,,,,,,,,,,,,9.92063492063492,,,9.920634920634928,,,
AG13T15g,9.920634920635848,,,,,,,,,,,,,,9.92063492063492,,,9.920634920634928,,,
AG13T16g,29.41176470588236,,,,,,,,,,,,,,29.411764705882213,,,29.411764705882486,,,
AG13T17g,29.41176470588236,,,,,,,,,,,,,,29.411764705882213,,,29.411764705882486,,,
AG13T18g,29.41176470588236,,,,,,,,,,,,,,29.411764705882213,,,29.411764705882486,,,
AG13T1g,31.250000000000004,,,,,,,,,,,,,,31.24999999999996,,,31.250000000000075,,,
AG13T2g,31.250000000000004,,,,,,,,,,,,,,31.24999999999996,,,31.250000000000075,,,
AG13T3g,31.250000000000004,,,,,,,,,,,,,,31.24999999999996,,,31.250000000000075,,,
AG13T4g,9.920634920634637,,,,,,,,,,,,,,9.920634920634907,,,9.920634920632928,,,
AG13T5g,9.920634920634637,,,,,,,,,,,,,,9.920634920634907,,,9.920634920632928,,,
AG13T6g,9.920634920634637,,,,,,,,,,,,,,9.920634920634907,,,9.920634920632928,,,
AG13T7g,9.920634920634637,,,,,,,,,,,,,,9.920634920634907,,,9.920634920632928,,,
AG13T8g,9.920634920634637,,,,,,,,,,,,,,9.920634920634907,,,9.920634920632928,,,
AG13T9g,9.920634920634637,,,,,,,,,,,,,,9.920634920634907,,,9.920634920632928,,,
AGDC,1000.0,,,1000.0,1000.0,,999.9999999999935,,,,,,,1000.0,,499.9999999999997,999.9999999999994,,,,
AGLPC,0.0,,,,,,,,,,,,,,,,,,,,
AGLPED,0.0,,,,,,,,,,,,,,,,,,,,
AGLPET,0.0,,,,,,,,,,,,,,,,,,,,
AGLPH,0.0,,,,,,,,,,,,,,,,,,,,
AGLPR,0.0,,,,,,,,,,,,,,,,,,,,
AGLPT,0.0,,,,,,,,,,,,,,,,,,,,
AGMTm,1000.0,,,,,,,,,,,,,,,,,,,,
AGPAT1,1000.0,,,,1000.0,999.9999999983143,,999.9999999999987,,,,,,,,,,,,1000.0,
AGPRim,0.0,,,,,,,,,,,,,,,,,,,,
AGTim,1000.0,,,,,,,,1000.0000000000001,,,1000.0,,,,,,,,,
AGTix,1000.0,,,1000.0000000000161,,,,,,,,,,,,,1000.0,,999.9999999999987,,
AHC,1000.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,
AHEXASE2ly,333.3333333333372,,,133.3333333333346,125.0,,,,72.42990654205539,,,,,125.00000000000048,,99.99999999999994,,,,,
AHEXASEly,90.90909090909096,,,,,,,,61.26482213438726,75.0,,,,,71.4285714285714,,,71.4285714285717,66.6666666666667,,
AICART,1000.0,,-1.4210854715201999e-13,,,1000.0000000000032,0.0,,0.0,,,0.0,,,0.0,9.086963642567265e-14,0.0,1000.0,,,1000.0
AKGDm,1000.0,1000.0,,1000.0,,666.6666666666666,,,,0.0,,,749.9999999999951,,1000.0000000000035,999.9999999999965,1000.0,,1000.0,,
AKR1C1,1000.0,,,,,,,,,,,,,,,,,,,,
AKR1C41,1000.0,124.03528114663729,,,1000.0,1000.0,1000.0,1000.0,1000.0,,,,1000.0,,1000.0,1000.0,,1000.0,,,
AKR1C42,1000.0,,,,,100.00000000000023,99.99999999999997,,,,,,,111.11111111111188,,93.75,111.11111111111103,,100.00000000000009,,
AKR1D,124.99999999999994,124.03528114663729,,,,,,,,,,,,,,,,,,,
AKR1D2,111.11111111111256,,,,,100.00000000000023,99.99999999999997,,,,,,,111.11111111111188,,93.75,111.11111111111103,,100.00000000000009,,
ALAR,1000.0,,,,,,,,,,,,,,999.9999999999993,,,,,,
ALASm,1000.0,,1000.0,1000.0,909.0909090909109,,727.2727272727255,,,,,,,,571.4285714285722,,,,1000.0000000000036,,
ALATA_L,1000.0,,,,1000.0,,1000.0,999.9999999999999,1000.0,,,,,1000.0,1000.0,1000.0,1000.0,,,,1000.0
ALCD1,1000.0,0.0,0.0,9.094947017729282e-13,1000.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0
ALCD21_L,1000.0,999.9999999999993,1000.0,1000.0,1000.0,,999.9999999999984,1000.0,,,,999.9999999999995,,1000.0000000000015,1000.0000000000003,,1000.0000000000006,1000.0,1000.0,1000.0000000000001,1000.0
ALCD22_L,1000.0,999.9999999999993,,1000.0,1000.0,,1000.0,,,,,,,1000.000000000002,,,1000.0000000000006,1000.0,1000.0,1000.0,1000.0
ALCD2if,1000.0,1000.0,,,,,1000.0,,,,1000.0,,,,,,1000.0,,,,1000.0
ALCD2yf,1000.0,1000.0000000000002,999.9999999999995,1000.0,1000.0,,,,,,,,1000.0000000000016,1000.0,1000.0,,,1000.0,1000.0,1000.0,1000.0
ALDD20x,0.0,,,,,,,,,,,,,,,,,,,,
ALDD20xm,0.0,,,,,,,,,,,,,,,,,,,,
ALDD21,1000.0,,,1000.0,1000.0,,,,1000.0,1000.0000000000032,,999.999999999999,,,,,,,,,
ALDD2x,1000.0,,,1000.0,,999.9999999999972,,,,,1000.0,1000.0000000000003,,,1000.0,,1000.0,,1000.0,,
ALDD2xm,1000.0,,,,,,1000.0,,,,,,,,,,,,,,
ALDD2y,1000.0,,999.9999999999995,1000.0,1000.0,,1000.0,,,,,,1000.0,,1000.0,,1000.0,1000.0,1000.0,1000.0,
ALKP,0.0,,,,,,,,,,,,,,,,,,,,
ALOX12,0.0,,,,,,,,,,,,,,,,,,,,
ALOX12R,0.0,,,,,,,,,,,,,,,,,,,,
ALOX15,-8.526512829121197e-14,,,,,,,,,,,,,,,,,,,,
ALOX5,1000.0,,,,,,,,,,,,,,,,,,,,
ALOX52,1000.0,,,,,,1000.0,,,,,,,,1000.0,,1000.0,1000.0,,,
ALR2,1000.0,1000.0,1000.0,1000.0,1000.0,,,1000.0,,,877.777777777778,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
ALR3,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,1000.0,,,,999.9999999999995,,1000.0,1000.0000000000065,,1000.0,1000.0,1000.0,1000.0,1000.0
AMACR2p,1000.0,124.0352811466373,,,,999.9999999999989,583.3333333333334,,,,,,333.3333333333334,999.9999999999957,,,,,789.4736842105772,333.33333333333326,
AMACR2r,0.0,,,,,,,,,,,,,,,,,,,,
AMACRp,111.11111111111069,,,,,,,,,,,,,111.11111111111121,,,,,,,
AMACRr,0.0,,,,,,,,,,,,,,,,,,,,
AMANK,1000.0,,,,,,,,,,,,,,,,1000.0,,,,
AMCOXO,1000.0,,,,,,,,,,,999.9999999999991,,,,,,,,,
AMPDA,1000.0,1000.0,1000.0000000000007,1000.0,1000.0,1000.0,1000.0,,1000.0,999.9999999999989,1000.0,999.9999999999978,,1000.0,1000.0,1000.0,1000.0000000000014,1000.0,,1000.0,1000.0
AMPTASECG,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,,999.9999999999994,,1000.0,,1000.0000000000002,,1000.0000000000003,1000.0,1000.0,,1000.0000000000024,1000.0,874.9999999999985,1000.0
AMPTASECGe,1000.0,,,1000.0,,,,,,,,1000.0,,,,,,,1000.0,,
AMY1e,1000.0,249.99999999999955,111.11111111111111,555.5555555555555,375.0,62.4999999999998,375.0,,181.8181818181818,878.2524721104628,90.9090909090909,,,1000.0,249.99999999999935,181.8181818181846,250.0,181.8181818181818,500.0,274.9999999999998,590.9090909090909
AMY2e,1000.0,249.99999999999957,,,375.0,62.49999999999989,375.0,,249.99999999999997,878.2524721104593,,,,,250.0000000000003,,250.0,,500.0000000000002,274.9999999999998,
AOBUTDsm,1000.0,,,,,,,,,,,,,,,,,,,,
AP4AH1,0.0,,,,,,,,,,,,,,,,,,,,
APAT2rm,1000.0,1000.0,,1000.0,,,-3.410605131648481e-13,,,,,,,,-9.094947017729282e-13,,0.0,,-2.2737367544323206e-13,,
APOCF,1000.0,,,,,,,,,,,,,,,,,,1000.0,,
APOCFm,1000.0,,,,,,,,,,,,,,,,,,1000.0,,
APOC_LYS_BTNP,1000.0,,,,,,,,,,,,,,,,,,1000.0000000000009,,
APOC_LYS_BTNPm,1000.0,,,,,,,,,,,,,,,,,,1000.0,,
APRTO2,0.0,,,,,,,,,,,,,,,,,,,,
ARABR,1000.0,1000.0,,1000.0,1000.0,,,,,,,,,1000.0,1000.0,,,1000.0,1000.0,1000.0,1000.0
ARACHCPT1,1000.0,,,,500.0,,,,,1000.0000000000011,,,,923.0769230769574,500.0000000000023,,,,,,
ARACHCPT2,1000.0,,,,500.0,,,,,1000.0000000000011,,,,923.0769230769574,500.0000000000023,,,,,,
ARGDCm,999.9999999999999,,,,,,,,,,,,,,,,,,,,
ARGN,1000.0,,,,,,,,,,,,,,,,,,,,
ARGNm,1000.0,,,,,,,,,,,,,,,,,,,,
ARGSL,1000.0,,,,,,,,,,,,,,,,,,,,
ARGSS,1000.0,,,,,,,,,,,,,,,,,,,,
ARSA,263.15789473687414,,,,,,,,122.52964426877465,,,,,,263.15789473688704,,,,,,142.85714285714366
ARTCOAL3,1000.0,,,,,,1000.0,,,,,1000.0,,,,,,,,,
R_group_phosphotase_3,1000.0,1000.0,,1000.0,1000.0,1000.0,,178.57142857142858,,1000.0,,1000.0,333.3333333333331,1000.0,1000.0,499.99999999999983,1000.0,1000.0,1000.0,500.0000000000009,
ARTFR207,0.0,,,,,,,,,,,,,,,,,,,,
ARTFR31,0.0,,,,,,,,,,,,,,,,,,,,
ARTFR51,0.0,,,,,,,,,,,,,,,,,,,,
ARTPLM3,1000.0,1000.0,2.842170943040401e-14,1000.0,1000.0,,1000.0000000000007,1000.0,1000.0,1000.0,1000.0,999.9999999999999,,1000.0,1000.0,999.9999999999966,1000.0,1000.0,1000.0,0.0,1000.000000000012
ARTPLM3m,1000.0,,,,,,,,,1000.0000000000013,,,,,,,,,,,
ASAH1,1000.0,,,,,,,178.57142857142858,,178.5714285714288,,,333.3333333333331,,178.57142857142873,499.99999999999926,500.0000000000016,178.5714285714263,500.0000000000074,500.0000000000009,
ASCBOX,499.99999999977206,,500.0,,,,,,,,,,,,,499.9999999999837,,,,500.0,
ASNNm,1000.0,,,,,0.0,,,,,,,1000.0000000000014,,,,,1000.0,,,1000.0
ASNS1,1000.0,1000.0,,,1000.0,,,,,,,,,,,,,,,,
ASP1DC,1000.0,1000.0,,1000.0,1000.0,,,,,,,,,,,,,,,,
ASPCTr,1000.0,,,,,,,,,,,,,,,,,,,,
ASPNATm,1000.0000000000013,,,,,,,,,,,,,,,,,,,,
ASPTA,1000.0,,,,,0.0,,,,1000.0,0.0,,,,,,1000.0000000000008,,,,
ASPTAm,1000.0,,,,,0.0,,,1000.0000000000006,,,,1000.0000000000014,,,,,1000.0,,,1000.0000000000001
ATPH1e,1000.0,,,,,,,,,,,,,,,,,,,,
ATPH2e,1000.0,,,,,,,,,,,,,,,,,,,,
B_MANNASEly,333.33333333333314,,,133.33333333333388,125.0,,,,72.42990654205599,75.00000000000004,,,,124.9999999999998,71.42857142857198,100.0,,71.42857142857133,66.66666666666667,,
B3GALT3g,166.66666666666666,,,,,,,,,166.66666666666376,,,,,,,99.9999999999998,,,,142.85714285714118
B3GALT41g,249.9999999999947,,,,,,,,,,,,250.0,,,,,,,,
B3GALT42g,249.99999999999469,,,,,,,,,,,,,,,,250.00000000000148,,,,
B3GALT43g,0.0,,,,,,,,,,,,,,,,,,,,
B3GALT44g,0.0,,,,,,,,,,,,,,,,,,,,
B3GALT5g,142.8571428571422,,,,,,,,,,,,,,,,99.99999999999986,,,,
B3GALTg,199.99999999999844,200.00000000000014,,199.99999999999176,200.0,,,,,166.66666666657144,,,,200.00000000000034,,,,,,166.66666666666666,
B3GNT11g,111.11111111110866,,,111.11111111110876,,,90.90909090909068,,,,,,,,,,,,,,
B3GNT12g,66.66666666666494,,,66.66666666666222,,,,,,,,,,,,,,,,,
B3GNT310g,199.99999999999196,200.00000000000313,,199.99999999999878,200.0,,200.00000000000034,,,129.03225806451613,,,,200.00000000000034,,,,,,200.00000000000136,
